"SchoolCode","SchoolName","Actv","Exmaty"
1,"AFRIKAANSE ONDERWYSINSTITUUT","N","JM"
2,"ALL SAINTS EDUCATIONAL CENTRE","N","JM"
3,"ALMEGA COLLEGE","N","JM"
4,"ASSUMPTION CONVENT (MALVERN)","N","JM"
5,"AURORA COLLEGE","N","JM"
6,"BARNATO PARK HIGH SCHOOL","N","JM"
7,"BISHOP BAVIN SCHOOL","N","JM"
8,"BRESCIA HOUSE","N","JM"
9,"BRIDGE HOUSE","Y","JM"
10,"CRAWFORD CARMEL COLLEGE","N","JM"
11,"CBC ST AQUINS","N","JM"
12,"CBC MOUNT EDMUND","N","JM"
13,"CRESTON COLLEGE","N","JM"
14,"DAMELIN COLLEGE","Y","JM"
15,"DE LA SALLE HOLY CROSS COLLEGE","N","JM"
16,"DEUTSCHE SCHULE ZU HERMANNSBURG","N","JM"
17,"DEUTSCHE SCHULE ZU JOHANNESBURG","N","JM"
18,"DEUTSCHE SCHULE ZU PRETORIA","N","JM"
19,"DIOCESAN SCHOOL FOR GIRLS","N","JM"
20,"DOLO ED","N","JM"
21,"DR CN PHATUDI COLLEGE OF EDUCATION","N","JM"
22,"DURBAN GIRLS  COLLEGE","N","JM"
23,"ELNATAN PRIVATE SCHOOL","N","JM"
24,"EMIRITUS EDUCATION GROUP","N","JM"
25,"EPWORTH SCHOOL","N","JM"
26,"EVANGEL CHRISTIAN SCHOOL","N","JM"
27,"GRACE CHRISTIAN SCHOOL","N","JM"
28,"GREENDALE EDUCATION CENTRE (532)","N","JM"
29,"GREENDALE EDUCATION CENTRE (531)","N","JM"
30,"GREENDALE EDUCATION CENTRE (534)","N","JM"
31,"GREENDALE EDUCATION TRUST (533)","N","JM"
32,"HATFIELD CHRISTIAN SCHOOL","N","JM"
33,"HARVEST CHRISTIAN SCHOOL","N","JM"
34,"HELPMEKAAR PRIVAATSKOOL","N","JM"
35,"HILTON COLLEGE","N","JM"
36,"HIRSCH LYONS SCHOOL","N","JM"
37,"HOERSKOOL DINAMIKA","N","JM"
38,"HOERSKOOL RANDBURG","N","JM"
39,"HOERSKOOL MARAIS VILJOEN","N","JM"
40,"HOLY FAMILY COLLEGE","N","JM"
41,"HOLY ROSARY SCHOOL","N","JM"
42,"HYDE PARK HIGH SCHOOL","N","JM"
43,"HUDSON PARK ACADEMY","N","JM"
44,"INDUMISO COLLEGE OF EDUCATION","N","JM"
45,"KEARSNEY COLLEGE","N","JM"
46,"KING DAVID HIGH SCHOOL(LINKSFIELD)","N","JM"
47,"KING DAVID HIGH SCHOOL(VICTORY PK)","N","JM"
48,"KINGSMEAD COLLEGE","N","JM"
49,"KINGSWOOD COLLEGE","N","JM"
50,"LIBERTY CHRISTIAN COLLEGE","N","JM"
51,"MARIAN COLLEGE-LINMEYER","N","JM"
52,"MARIS STELLA SCHOOL","N","JM"
53,"MARITZBURG COACHING SCHOOL","N","JM"
54,"MARYMOUNT HIGH SCHOOL","Y","JM"
55,"MICHAELHOUSE","N","JM"
56,"MICHAEL MOUNT WALDORF SCHOOL","N","JM"
57,"MITCHELL HOUSE PREPARATORY SCHOOL","N","JM"
58,"BLYVOORUITZICHT MAP COLLEGE","N","JM"
59,"DURBAN ROODEPOORT DEEP BRID. COLLEG","N","JM"
60,"GROOTVLEI BRIDGING COLLEGE","N","JM"
